Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav
3968.75,74.6098,60.9871,74.9194,75.944,65.4556,70.0654,67.8998,75.3036
3984.375,77.0513,62.189,74.4078,76.9372,53.4206,79.3419,80.7235,78.4439
4000,71.1965,62.0761,78.8027,77.2337,66.8318,79.2243,75.9036,75.5783
4015.625,79.6169,60.3477,73.1183,76.6596,57.3969,76.2571,75.941,76.3562
4031.25,73.2601,58.5914,78.9334,71.1621,61.9931,69.6361,69.4534,73.9772
4046.875,67.5664,60.1821,72.3823,76.2056,57.8428,75.4159,74.3695,74.3039
4062.5,79.517,54.6869,70.5734,71.2092,64.4038,70.3446,77.814,75.7783
4078.125,62.0595,59.101,68.213,65.4955,51.6815,70.8525,66.0545,66.0438
4093.75,60.0147,54.0947,69.8232,75.4762,52.2448,69.581,61.0165,66.1033
4109.375,70.7426,52.699,61.6623,51.6874,56.9817,57.578,66.8633,62.4382
4125,55.6363,49.8865,54.9814,65.1412,46.6174,65.4873,60.209,55.2152
4140.625,56.1829,41.9332,59.5069,57.4142,47.9161,49.5979,55.5154,62.2273
4156.25,52.7173,48.2041,50.6513,49.4037,43.384,48.2995,49.9441,48.4188
4171.875,49.5943,39.2974,50.8284,49.6929,43.3053,56.8921,49.6587,50.9648
4187.5,37.5937,41.5129,39.574,42.6591,40.0551,41.577,43.8085,38.9115
4203.125,41.5915,38.4774,41.1103,40.6345,32.849,38.0512,40.7281,41.2415
4218.75,38.2956,29.2271,38.6371,32.0295,41.5573,33.7955,31.7737,32.6723
4234.375,25.771,30.7348,24.5997,32.5079,30.6623,33.7764,36.2905,36.1971
4250,33.9516,29.7079,33.61,26.0086,20.8297,25.5919,23.9416,23.4627
4265.625,16.1807,26.8456,18.1775,21.1837,29.3305,19.5486,25.8409,22.478
4281.25,22.6812,23.145,25.3731,27.2396,22.5035,23.8458,15.9875,23.8481
4296.875,17.9246,22.7127,11.1982,8.5036,26.3476,13.587,15.9308,10.6703
4312.5,18.7626,22.9656,19.555,19.8582,22.4791,13.7033,17.8358,14.6382
4328.125,11.0762,17.4525,2.1323,8.6217,15.2177,7.7829,10.4292,8.7156
4343.75,5.8843,16.0202,13.0484,6.0339,19.4437,11.2195,8.543,10.4071
4359.375,12.9882,26.6991,3.7555,6.6765,15.4276,7.1405,7.2375,1.4563
4375,7.889,13.9861,7.506,3.5555,20.2552,2.934,11.0638,9.9618
4390.625,3.5339,17.8794,7.3111,10.4697,18.0724,11.9638,5.2876,3.6286
4406.25,3.3003,19.6424,9.6651,3.791,19.9967,3.7753,7.3684,9.5591
4421.875,10.6993,12.8334,5.2157,14.0252,13.7825,6.579,7.6206,4.0994
4437.5,13.4192,17.9608,9.6269,5.734,16.2496,9.0183,10.4737,13.4709
4453.125,10.9504,16.9259,7.5251,11.5021,16.5414,13.2614,3.7244,9.4877
4468.75,12.4032,16.0661,9.2211,9.7661,16.7047,12.8603,14.5224,9.2602
4484.375,7.5697,16.503,5.2806,6.9091,16.7215,11.527,6.2483,3.737
4500,16.9964,21.4947,16.4754,11.807,20.2481,7.5824,18.1952,12.1563
4515.625,3.3579,13.7163,8.9689,15.6205,14.1004,10.1266,6.2473,10.486
4531.25,14.6351,16.6226,11.4472,8.9099,17.7963,16.1359,10.353,12.4269
4546.875,18.8164,20.5594,15.9211,12.8371,24.8993,13.0814,11.8184,14.2914
4562.5,19.1316,19.8108,12.9783,14.751,14.3467,12.9954,15.574,16.429
4578.125,20.0013,27.419,12.8222,19.4508,24.6704,23.5385,20.7417,16.4144
4593.75,17.3985,20.1875,28.4388,19.0702,20.5752,15.0962,15.2011,21.4169
4609.375,25.272,24.1676,18.7467,19.9597,32.8765,27.2058,29.5614,23.64
4625,26.6564,26.8567,27.4127,28.7855,22.5376,22.2106,23.0273,22.2373
4640.625,22.2972,33.5002,26.2128,24.7106,32.6021,29.6941,20.4295,29.4129
4656.25,30.3935,27.1453,30.3013,34.3247,30.0719,32.3112,33.0156,30.0911
4671.875,37.4315,36.6137,32.6791,31.8134,38.8704,33.0511,30.7805,29.5504
4687.5,29.9243,35.258,36.4391,32.5356,33.0571,32.8568,42.7493,36.9684
4703.125,39.2939,39.0213,37.7962,37.6482,37.3123,37.972,32.4737,37.2494
4718.75,40.4494,40.9896,40.0082,42.2475,40.6331,38.8227,40.7897,38.34
4734.375,38.1391,43.0178,40.1349,36.3536,44.0345,43.5424,41.0873,40.4376
4750,45.0529,41.1581,42.5409,41.805,41.261,38.9145,41.3505,44.6409
4765.625,44.1959,47.3203,44.2145,50.7562,48.1033,48.1849,44.1448,44.005
4781.25,43.8545,45.4541,46.2668,39.5414,47.5217,41.1789,43.1456,48.664
4796.875,40.1614,48.9155,44.5356,50.0287,43.9754,44.9839,43.0183,44.673
4812.5,47.1871,46.1499,45.9217,40.0985,54.8756,47.4761,51.2158,45.1618
4828.125,46.0236,49.28,47.4927,53.5301,45.1836,48.4791,49.2639,49.5328
4843.75,46.3375,52.6391,44.7164,41.5459,48.6199,44.3696,41.4242,41.7099
4859.375,43.0877,46.7105,45.7596,45.142,51.9309,49.5669,50.2662,49.7259
4875,47.6142,44.3397,47.711,47.2109,49.9551,39.9396,40.9084,44.7892
4890.625,33.7859,54.2828,40.2225,44.6011,41.7712,47.3249,48.0784,48.2128
4906.25,48.7133,41.3241,43.9426,41.7909,48.6928,43.9391,44.3831,37.5602
4921.875,40.2772,46.327,42.7232,42.3555,45.0928,44.3009,40.0603,45.5221
4937.5,39.3605,42.9968,39.2691,41.5197,41.1254,34.7821,39.7194,39.5092
4953.125,32.1469,45.3791,38.5643,34.8853,44.5793,41.8873,37.0324,38.7479
4968.75,35.5422,32.6805,36.6217,34.3466,35.7987,30.3325,35.3692,34.7102
4984.375,32.858,40.5802,26.0996,36.021,38.3928,32.68,32.6749,32.1214
5000,37.502,32.8396,32.9187,29.4981,30.9611,30.5068,31.627,32.8234
5015.625,18.0618,34.407,34.9703,30.5066,35.9967,28.9248,24.3452,27.8459
5031.25,25.0515,25.2179,15.6238,24.1643,27.1982,22.6098,28.6072,20.991
5046.875,25.9645,24.9678,30.8183,20.8766,26.292,19.3327,19.6333,28.6657
5062.5,15.5753,22.6367,14.5644,19.4061,20.3706,24.8888,19.8011,16.2492
5078.125,18.2961,20.2786,20.2882,18.7562,18.0384,16.9407,18.9514,19.9411
5093.75,14.4152,14.1011,13.8262,13.9714,16.7103,17.008,14.8227,9.8469
5109.375,14.7198,13.5309,14.7157,17.092,13.5882,10.5803,16.084,20.3885
5125,21.3269,11.9006,15.0059,9.0422,9.1651,14.5202,13.4641,8.1975
5140.625,2.1722,1.6605,9.7393,15.4416,7.2571,8.6665,7.5553,15.2234
5156.25,16.5603,7.3808,13.5482,6.3234,6.2987,12.4457,14.231,7.4005
5171.875,10.723,4.2407,8.628,13.0502,1.3089,9.8041,8.7875,15.6612
5187.5,17.1113,7.716,10.9803,12.5481,5.3843,14.655,20.4941,9.9526
5203.125,15.2311,2.4627,15.5584,10.2652,6.019,15.4082,6.7485,15.4123
5218.75,6.6412,11.707,14.8438,19.1294,13.6286,8.5633,19.5102,11.0587
5234.375,19.1322,10.5801,13.445,15.3702,9.0616,17.4717,15.8902,16.7502
5250,21.9595,15.6368,16.5318,12.677,13.7717,18.8,17.4191,14.9552
5265.625,16.26,14.275,16.332,18.9134,10.8584,15.5709,16.8517,18.5531
5281.25,12.7872,16.0616,21.2241,15.1663,18.0468,12.8979,18.4028,13.6664
5296.875,18.8555,15.8631,15.2395,19.2167,16.663,18.343,14.2815,22.2933
5312.5,11.3931,18.0464,20.0877,14.8555,17.1028,20.2909,20.6645,17.2014
5328.125,25.5621,15.5935,14.5083,21.5181,15.3811,12.5845,18.5979,13.7859
5343.75,14.5225,16.5134,20.5205,13.7572,20.4612,20.8417,14.8573,17.9374
5359.375,13.8668,21.0852,16.8516,20.3766,16.2939,19.8137,20.176,17.5416
5375,18.2971,13.2883,16.9784,17.9341,16.9533,11.7433,16.0581,19.0947
5390.625,16.212,17.3716,13.3456,15.4199,11.4456,18.8638,13.0633,16.6062
5406.25,12.9608,9.362,17.1629,12.8659,17.0996,12.9622,15.7575,13.5081
5421.875,17.505,8.8374,13.6515,15.7681,7.6435,13.8702,15.244,12.9239
5437.5,11.5582,11.9515,14.6801,13.5368,13.7482,14.5546,11.8178,12.4969
5453.125,14.6789,4.3686,9.0408,12.7086,4.2284,12.9385,15.258,15.7686
5468.75,10.0112,7.66,12.0818,15.4205,6.0882,10.8849,12.9252,10.9166
5484.375,13.4675,2.1744,15.7533,9.5332,1.6485,11.8107,7.1497,11.5554
5500,16.5947,5.7545,9.1247,15.2865,4.1998,10.9025,17.0259,12.1405
5515.625,7.181,2.7209,12.5253,13.5815,6.2336,11.9703,13.6456,9.63
5531.25,17.2948,12.149,12.0986,8.3892,14.1598,13.7321,7.4049,14.496
5546.875,8.3143,12.8721,13.6818,15.8935,7.2183,11.9072,14.7538,13.2356
5562.5,19.4553,13.2836,9.9606,14.744,20.583,15.7795,20.2749,14.5901
5578.125,16.4038,22.4,20.4165,13.8433,16.443,15.2139,10.1204,16.1043
5593.75,15.3809,20.5324,15.622,15.2505,25.0622,18.8213,13.4273,16.6544
5609.375,12.1948,27.4779,18.0473,21.1636,23.4052,16.4568,20.0743,13.938
5625,20.9674,25.0084,17.1907,20.5306,24.7919,16.9854,21.9156,22.277
5640.625,17.0309,35.181,19.3953,14.5915,35.2188,19.0001,17.3732,17.169
5656.25,21.2064,30.662,24.2771,21.9041,36.4566,22.1284,22.4458,22.3269
5671.875,19.1048,37.0951,16.3538,23.8567,33.1252,20.0839,21.975,18.9498
5687.5,20.2649,37.2944,24.378,21.3342,40.8253,24.2548,22.1913,28.9507
5703.125,24.354,41.1174,20.0415,21.6808,36.8259,19.8095,21.47,16.0009
5718.75,24.7592,43.0499,26.0451,22.6772,43.966,19.6963,23.698,29.2449
5734.375,16.5745,41.7434,22.9223,24.7801,38.9366,29.7472,24.0951,22.9478
5750,21.2649,42.4725,22.5355,19.3716,48.4714,19.7666,22.9992,22.9343
5765.625,24.9286,42.0143,22.492,28.0434,40.8736,24.0379,20.7334,21.8259
5781.25,14.9201,41.8334,24.285,21.6222,39.3552,19.9176,24.1519,23.5868
5796.875,26.2386,41.0679,18.9,20.8993,47.1977,24.0013,22.8368,21.2425
5812.5,19.0166,43.2968,20.2653,21.7119,36.0869,18.0384,20.4335,22.7556
5828.125,20.5708,35.9559,24.5438,22.1156,38.652,22.0042,19.0249,19.2897
5843.75,19.065,38.9469,19.4806,17.6105,41.7423,16.1365,21.3287,21.1664
5859.375,12.9787,32.8499,17.8615,13.7507,29.06,17.6104,16.5792,17.1826
5875,13.6891,33.5309,13.3322,16.772,37.1195,16.6644,14.8649,16.1024
5890.625,17.5335,27.4254,16.217,15.9698,28.6794,11.6865,17.0062,13.3781
5906.25,10.257,24.8826,13.1077,13.6061,22.0855,13.5249,9.477,15.4991
5921.875,9.9076,23.4466,11.4616,8.9488,25.3296,8.6176,11.6264,11.3944
5937.5,8.857,18.6259,7.1123,12.3519,24.4196,11.3229,9.7859,14.4995
5953.125,4.2482,14.8902,8.7016,1.6776,8.6599,8.5222,6.3041,2.8095
5968.75,6.0849,11.0433,6.734,9.8489,11.0113,6.3013,7.7106,7.6668
5984.375,10.6276,9.8964,6.5551,3.2043,10.5139,8.1272,4.6581,3.6976
6000,8.5606,5.0994,3.359,5.9898,5.7281,5.7426,6.9212,10.106
6015.625,3.8931,9.19,5.2239,3.9784,7.7614,5.3893,11.2083,3.6161
6031.25,3.2834,11.7241,8.9762,8.1278,8.6716,11.536,6.2043,10.7379
6046.875,7.8599,13.4686,8.2559,10.0164,20.1919,9.8389,6.017,3.0886
6062.5,13.4454,20.5459,12.6199,14.5785,16.119,11.4466,12.4415,15.2619
6078.125,11.1681,20.7043,10.9856,6.0684,19.2503,13.3156,13.387,10.5067
6093.75,17.0084,23.9525,13.6458,19.4627,28.7769,14.9945,14.3268,18.3579
6109.375,8.3813,33.3126,19.1262,11.6707,31.3668,11.3333,13.7457,10.1418
6125,23.3639,29.0702,14.3373,17.0718,31.6512,19.2859,18.5177,17.3871
6140.625,8.9275,34.8703,20.7198,17.5896,32.1945,17.1245,14.5587,20.3362
6156.25,21.7851,37.0922,16.1774,19.5103,41.6446,15.7037,19.5997,21.2095
6171.875,15.4438,36.1891,20.5648,18.8053,34.729,19.803,20.0123,16.0892
6187.5,18.1287,40.2087,18.9418,21.6205,39.9771,23.6289,21.2833,23.1301
6203.125,19.615,41.9631,19.725,21.0092,39.2416,14.4628,19.308,18.9061
6218.75,19.8853,39.8499,17.5206,18.8772,41.8174,20.487,17.0106,18.8467
6234.375,17.1107,39.3588,21.9262,19.4641,43.4466,21.929,23.0314,21.3912
6250,17.5758,42.3647,17.9875,18.7906,40.1354,17.1423,16.7441,21.0202
6265.625,23.27,37.7873,23.8859,25.1027,37.3396,19.7065,20.9547,20.6144
6281.25,13.0719,40.8713,14.8553,14.2206,39.732,16.6465,17.8217,17.2868
6296.875,18.0029,35.4925,18.1373,15.5961,37.324,19.09,17.7024,16.9164
6312.5,14.7807,36.4612,17.5319,21.8932,36.2459,18.2519,17.8335,19.75
6328.125,13.1038,30.6706,17.9664,10.1317,32.1998,13.695,15.4988,16.5015
6343.75,17.9403,32.0552,15.7771,20.7046,27.0185,18.1795,15.384,14.5042
6359.375,12.2261,26.334,13.7249,13.9821,31.0678,15.2865,17.0518,14.6297
6375,18.4008,25.3844,13.651,17.1189,24.0485,12.0239,13.7751,14.7582
6390.625,8.9812,22.2517,15.3662,12.9128,21.0551,13.4928,13.389,17.225
6406.25,20.1353,19.7527,13.6593,16.3074,19.6905,12.986,15.252,16.0913
6421.875,13.1349,18.6987,15.6728,16.5582,22.7948,16.4062,12.6925,13.1903
6437.5,14.9863,15.9561,11.5607,15.2675,13.3722,15.5845,18.0431,13.8279
6453.125,16.9325,19.3779,18.189,15.6843,17.7021,17.9648,15.9864,17.1339
6468.75,14.7032,18.2369,21.2719,18.1711,18.917,16.231,17.322,19.2505
6484.375,23.3505,15.9929,13.3485,18.222,23.5455,17.4543,18.3843,16.5331
6500,19.3939,24.9076,22.5538,18.9472,21.731,21.131,19.4292,19.5941
6515.625,21.8838,25.2885,17.6978,25.6375,21.9644,20.4078,20.6496,19.7914
6531.25,20.1891,30.3971,25.6308,20.88,29.5639,21.5108,22.7389,24.5073
6546.875,23.188,29.7489,21.5478,23.6099,33.3812,24.1516,21.4965,22.2145
6562.5,22.388,32.3879,23.9837,24.0344,30.8506,25.7143,26.3379,27.0784
6578.125,30.837,34.8044,26.6461,23.5961,39.1292,24.7673,25.1033,23.3715
6593.75,22.4782,38.989,28.0644,25.2139,32.6331,25.3238,22.6886,27.7124
6609.375,27.2074,39.3738,26.2876,29.0259,41.4849,28.2329,31.9749,28.4863
6625,22.8099,38.5559,27.0118,26.8886,44.0321,25.6494,28.8102,26.8924
6640.625,28.6239,41.5158,28.5135,29.4448,35.7588,30.1055,25.7973,27.3832
6656.25,28.3678,45.8875,28.3958,27.0266,45.3144,26.2661,24.2309,31.0943
6671.875,26.4005,38.5184,25.9727,27.7516,42.941,27.1524,28.8557,25.4305
6687.5,29.3758,43.677,29.5647,25.6003,35.773,27.7957,29.8297,31.8553
6703.125,22.2213,40.0986,25.901,28.2497,45.8348,26.8166,26.8992,24.1537
6718.75,25.6924,42.6201,27.8068,21.9113,41.1481,26.3434,26.414,27.4423
6734.375,21.5177,36.8861,25.2261,30.9656,37.9092,24.5814,23.9874,26.9328
6750,28.2246,38.5236,24.6382,25.1802,37.8469,24.9836,23.5312,24.2184
6765.625,19.3559,34.7451,21.2358,22.7189,33.1896,24.5377,26.3857,24.2713
6781.25,25.9904,33.8211,25.6527,21.8613,34.7337,21.5495,20.6925,21.2981
6796.875,17.5763,27.9836,19.817,20.0104,32.0663,19.086,23.0669,23.055
6812.5,18.6122,28.023,17.0599,20.7838,21.9935,22.7936,16.5649,18.8328
6828.125,17.0038,23.1523,19.8367,19.6793,25.2611,15.6062,21.2121,18.5762
6843.75,14.9619,18.9261,16.3934,16.0783,22.2653,17.3926,18.002,15.8224
6859.375,17.4289,18.168,14.6927,16.0032,14.6691,12.7714,11.1386,15.5738
6875,15.9063,13.4591,12.7743,11.3189,14.2842,12.7449,16.5629,11.1465
6890.625,6.2152,9.1724,14.5902,12.6979,12.1533,11.3117,10.6366,16.1839
6906.25,11.9151,9.3657,6.948,10.7077,2.8221,11.8361,10.5673,8.0495
6921.875,12.3997,5.2066,10.8353,8.7335,7.5157,8.5478,9.9486,12.1357
6937.5,6.5319,7.108,7.7118,7.9059,9.2984,9.9406,5.3661,6.2406
6953.125,5.5628,5.6479,5.1509,6.4986,8.0291,3.3357,4.3104,6.4859
6968.75,6.5896,13.3549,6.4469,7.2784,7.2491,7.2281,10.773,5.8658
6984.375,4.65,11.9218,2.189,1.6154,19.2733,1.8939,0.8907,2.8768
7000,3.9397,14.7047,4.2263,7.518,12.9623,5.9163,4.3065,3.7395
7015.625,2.534,20.4509,3.9222,4.9076,18.1122,3.5116,2.5392,4.7764
7031.25,3.5694,18.3468,3.7293,3.2321,20.7099,4.5963,3.8283,2.9867
7046.875,6.0972,23.3402,3.0718,5.6155,24.0461,1.0714,2.7181,3.0834
7062.5,1.6938,22.6291,3.6755,2.4162,20.0663,3.8931,4.9242,5.2438
7078.125,1.9921,26.7559,2.2906,2.0959,24.5122,3.6567,4.2808,3.9102
7093.75,3.9214,24.2274,4.865,4.8025,29.4897,5.1455,0.7852,5.7936
7109.375,3.7159,26.7568,5.6478,3.1003,24.7026,2.6396,6.9761,0.6025
7125,2.1006,25.3199,8.1669,8.6991,20.3066,5.0924,3.9407,6.9165
7140.625,7.75,29.2949,1.5989,6.1106,32.8917,7.5436,6.9572,5.0819
7156.25,2.8567,23.3555,10.0572,4.2827,19.198,5.7332,6.7832,7.3805
7171.875,10.7065,25.7772,5.0639,14.5754,28.7747,6.3393,4.5638,4.4654
7187.5,8.6015,23.6613,0.9719,1.6352,21.6864,6.4352,6.4298,9.0323
7203.125,6.0278,21.8279,12.1139,5.5828,25.1452,6.5254,7.4896,6.4161
7218.75,7.5114,19.914,7.365,11.9562,18.2156,5.5667,10.6247,6.9887
7234.375,12.5575,22.099,8.9959,11.0656,23.0281,9.8114,4.0449,8.9388
7250,7.4806,17.2574,11.448,8.6533,15.5004,7.8912,11.4729,7.1977
7265.625,11.4097,16.3029,9.856,10.3983,18.9505,12.5449,6.2222,10.5157
7281.25,10.4852,15.9073,13.1045,11.65,17.9893,6.0452,13.5698,10.3752
7296.875,12.044,11.9675,7.9554,11.4354,7.2912,12.6082,8.247,10.0669
7312.5,8.9978,12.5953,14.9454,9.0394,13.4423,6.9592,13.1525,11.062
7328.125,9.0698,14.6573,6.0416,12.7401,13.7415,16.5365,8.3769,12.0176
7343.75,12.8387,11.662,13.6861,7.1187,15.3999,8.8377,16.1059,9.1668
7359.375,11.6176,16.5795,12.937,16.4708,18.2709,14.9328,8.2045,12.3405
7375,12.1848,17.8342,10.1139,9.6386,16.2193,11.0151,12.8757,15.6824
7390.625,15.5441,18.1559,15.4968,13.43,19.2823,13.1113,11.5661,12.7525
7406.25,10.9231,21.7569,12.3469,14.2033,18.1117,11.4566,15.3264,11.5665
7421.875,15.6591,21.9502,13.764,15.3565,25.2032,14.5882,15.3535,14.5772
7437.5,11.6282,24.6455,13.1532,12.2217,22.1905,13.2617,10.9163,14.2881
7453.125,12.4849,26.0675,16.1986,16.1341,26.7613,14.2665,14.9119,15.437
7468.75,12.7458,28.518,11.5871,11.4313,24.4822,12.7295,14.3721,12.8123
7484.375,16.299,31.0653,16.8255,18.1696,39.8215,15.6601,14.705,15.5333
7500,11.9103,33.776,11.0399,12.3701,24.9735,13.6538,12.6262,15.0316
7515.625,15.4751,30.886,22.5358,16.0249,44.6434,15.5082,17.7494,14.4706
7531.25,10.0281,34.1602,7.4803,12.1439,19.5628,12.6389,11.7366,13.917
7546.875,16.5883,35.9553,18.8602,19.7529,37.1031,16.0513,15.3243,16.5579
7562.5,11.4062,28.6103,8.8723,9.5822,41.1142,9.8423,21.2009,15.4304
7578.125,14.2443,41.0089,25.6247,22.0664,34.5422,17.903,12.0163,15.8158
7593.75,13.7887,35.7055,18.852,21.9867,34.7543,20.6441,19.7545,13.4533
7609.375,16.3679,34.6269,10.277,10.1225,33.7688,8.2681,12.9358,19.5104
7625,16.5767,34.6248,20.7887,16.6995,41.2838,17.5318,18.0634,15.4127
7640.625,14.9305,36.5011,9.9406,22.6209,32.2317,22.8819,22.0314,16.7065
7656.25,19.0716,33.8877,23.1579,18.5977,44.3232,10.8365,12.255,19.0168
7671.875,14.0821,35.2966,14.188,15.5306,35.0618,19.0775,18.4585,18.0236
7687.5,21.6062,33.3579,27.7696,24.5721,25.2521,21.8578,20.187,21.6376
7703.125,17.4242,29.0302,15.1358,18.756,34.3634,18.8367,19.1108,18.2884
7718.75,20.2042,29.9113,22.5708,17.2328,31.1426,17.4307,23.7565,22.7657
7734.375,20.3995,29.1551,17.819,24.2974,28.18,23.6737,19.4286,20.0056
7750,24.2552,25.2071,22.7181,21.765,26.1165,20.805,21.309,23.014
7765.625,21.9744,26.9393,22.4626,23.986,25.3254,24.7246,23.8307,22.7495
7781.25,24.2205,23.3661,25.8277,22.3227,22.8686,22.0272,23.8774,24.6974
7796.875,22.6987,21.4131,24.5487,24.4811,22.9787,23.5729,24.7208,23.7414
7812.5,26.8008,20.5575,26.1549,25.1684,18.0168,25.5562,25.6539,25.1465
7828.125,27.4157,17.471,24.8112,26.3841,18.8098,27.8671,23.7655,25.7159
7843.75,23.6131,18.1319,26.7448,25.3934,17.1158,24.8881,26.6118,25.8311
7859.375,30.3801,13.7275,25.4129,28.148,17.6346,27.07,27.6579,26.1094
7875,28.2789,13.2861,27.1453,27.226,12.2261,28.1872,27.045,27.6028
7890.625,26.5981,14.1554,29.6745,27.5946,10.0915,28.4984,27.1056,27.4621
7906.25,29.9624,10.2573,27.795,26.9222,13.271,27.9721,27.6278,26.6745
7921.875,29.7174,9.2911,29.8602,30.3946,10.8994,27.4601,28.9232,27.3454
7937.5,28.9947,8.7472,25.1131,25.3267,5.81,28.9664,29.2875,29.4469
7953.125,31.769,7.5681,29.7754,30.9906,8.9717,30.5929,28.607,27.9919
7968.75,28.8205,8.153,28.5217,28.9508,9.8182,28.2447,27.6553,26.8964
7984.375,31.2383,6.4342,30.1682,29.3972,6.4477,29.3333,29.2691,28.485
